cpi_id,cpi_value,sector_id,year,base_year,period_category
201,109.323,2,2022,2019,postcovid
202,115.685,2,2023,2019,postcovid
203,118.778,2,2024,2019,postcovid
204,98.512,2,2018,2019,precovid
205,100,2,2019,2019,covid
206,101.835,2,2020,2019,covid
207,103.314,2,2021,2019,covid
208,108.802,2,2022,2019,postcovid
209,115.138,2,2023,2019,postcovid
210,118.383,2,2024,2019,postcovid
211,,2,2018,2019,precovid
212,100,2,2019,2019,covid
213,101.211,2,2020,2019,covid
214,102.739,2,2021,2019,covid
215,108.4,2,2022,2019,postcovid
216,115.023,2,2023,2019,postcovid
217,118.557,2,2024,2019,postcovid
218,,2,2018,2019,precovid
219,100,2,2019,2019,covid
220,101.174,2,2020,2019,covid
221,102.776,2,2021,2019,covid
222,108.711,2,2022,2019,postcovid
223,115.481,2,2023,2019,postcovid
224,119.243,2,2024,2019,postcovid
225,,2,2018,2019,precovid
226,100,2,2019,2019,covid
227,101.191,2,2020,2019,covid
228,102.729,2,2021,2019,covid
229,108.537,2,2022,2019,postcovid
230,115.172,2,2023,2019,postcovid
231,118.786,2,2024,2019,postcovid
232,,2,2018,2019,precovid
233,100,2,2019,2019,covid
234,101.642,2,2020,2019,covid
235,102.974,2,2021,2019,covid
236,109.17,2,2022,2019,postcovid
237,115.655,2,2023,2019,postcovid
238,120.58,2,2024,2019,postcovid
239,,2,2018,2019,precovid
240,100,2,2019,2019,covid
241,101.597,2,2020,2019,covid
242,102.978,2,2021,2019,covid
243,109.1,2,2022,2019,postcovid
244,115.69,2,2023,2019,postcovid
245,120.92,2,2024,2019,postcovid
246,,2,2018,2019,precovid
247,100,2,2019,2019,covid
248,101.614,2,2020,2019,covid
249,103.001,2,2021,2019,covid
250,109.146,2,2022,2019,postcovid
251,115.665,2,2023,2019,postcovid
252,120.751,2,2024,2019,postcovid
253,98.369,2,2018,2019,precovid
254,100,2,2019,2019,covid
255,101.296,2,2020,2019,covid
256,102.785,2,2021,2019,covid
257,108.55,2,2022,2019,postcovid
258,115.146,2,2023,2019,postcovid
259,118.952,2,2024,2019,postcovid
260,98.356,2,2018,2019,precovid
261,100,2,2019,2019,covid
262,101.293,2,2020,2019,covid
263,102.833,2,2021,2019,covid
